time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw
1564084111.58,-0.0021484375,0.0093994140625,0.0959228515625,-0.12213740458,-0.0740458015267,-0.0847328244275,-35.2,154.0,1571.6,-16.0,-9.7,-11.1
1564084111.69,-0.004326171875,0.0192016601563,0.182302246094,-0.235877862595,-0.164351145038,-0.171679389313,-70.88,314.6,2986.84,-30.9,-21.53,-22.49
1564084111.79,-0.0060419921875,0.0269738769531,0.260507568359,-0.337480916031,-0.199061068702,-0.232374045802,-98.992,441.94,4268.156,-44.21,-26.077,-30.441
1564084111.9,-0.00778154296875,0.0336759033203,0.330135522461,-0.425870229008,-0.231826717557,-0.3099,-127.4928,551.746,5408.9404,-55.789,-30.3693,-40.5969
1564084112.01,-0.00898092773438,0.0397809692383,0.393435446777,-0.522214503817,-0.285743282443,-0.359062671756,-147.14352,651.7714,6446.04636,-68.4101,-37.43237,-47.03721
1564084112.11,-0.0103045146484,0.0453243566895,0.450454206787,-0.579153358779,-0.307550633588,-0.419339610687,-168.829168,742.59426,7380.241724,-75.86909,-40.289133,-54.933489
1564084112.23,-0.0117398834961,0.050093678833,0.501160739233,-0.670092984733,-0.436337554962,-0.482749161069,-192.3462512,820.734834,8211.0175516,-87.782181,-57.1602197,-63.2401401
1564084112.34,-0.012787574834,0.0546302093872,0.547162829373,-0.715297426718,-0.418657997939,-0.553558214427,-209.51162608,895.0613506,8964.71579644,-93.7039629,-54.84419773,-72.51612609
1564084112.45,-0.0138281532881,0.0588839853235,0.588637952685,-0.782698981756,-0.460761663794,-0.589042087641,-226.560463472,964.75521554,9644.2442168,-102.53356661,-60.359777957,-77.164513481
1564084112.56,-0.0147890879593,0.0622973446036,0.626527087104,-0.829619923275,-0.464303818025,-0.627847802541,-242.304417125,1020.67969399,10265.0197951,-108.680209949,-60.8238001613,-82.2480621329
1564084112.67,-0.0156783432258,0.0651496413933,0.660578479956,-0.863451824077,-0.473598627062,-0.659719510837,-256.873975412,1067.41172459,10822.9178156,-113.112188954,-62.0414201452,-86.4232559196
1564084112.78,-0.0160636339033,0.0692792085039,0.690931764773,-0.897717328692,-0.491124260539,-0.686113971967,-263.186577871,1135.07055213,11320.226034,-117.600970059,-64.3372781307,-89.8809303276
1564084112.89,-0.0166789502004,0.0702370298411,0.718127650796,-0.927029565289,-0.510714124562,-0.699945322862,-273.267920084,1150.76349692,11765.8034306,-121.440873053,-66.9035503176,-91.6928372949
1564084113.01,-0.0172571489304,0.0727592252944,0.742628362279,-0.944250272882,-0.524528208289,-0.724607279125,-282.741128076,1192.08714722,12167.2230876,-123.696785748,-68.7131952858,-94.9235535654
1564084113.12,-0.0178995980999,0.075151271515,0.764483690113,-0.981886314296,-0.515586837842,-0.713215253503,-293.267015268,1231.2784325,12525.3007788,-128.627107173,-67.5418757572,-93.4311982089
1564084113.23,-0.0183069039149,0.0770599724885,0.783958172665,-0.989041194317,-0.532730444134,-0.744183804488,-299.940313741,1262.55058925,12844.3707009,-129.564396456,-69.7876881815,-97.488078388
1564084113.34,-0.0190396900859,0.0783871783647,0.801631691336,-1.0145645558,-0.545106254682,-0.765948630146,-311.946282367,1284.29553033,13133.9336308,-132.90795681,-71.4089193634,-100.339270549
1564084113.45,-0.0190156038898,0.0800455308407,0.81744020189,-1.05432947427,-0.55929791929,-0.794697278582,-311.55165413,1311.46597729,13392.9402678,-138.117161129,-73.268027427,-104.105343494
1564084113.56,-0.0194333794383,0.0810985949441,0.831521377013,-1.08172095432,-0.579704005224,-0.803777169045,-318.396488717,1328.71937956,13623.646241,-141.705445016,-75.9412246843,-105.294809145
1564084113.68,-0.019516408682,0.0826811182622,0.844658301812,-1.1445412253,-0.587382459663,-0.826452887255,-319.756839846,1354.64744161,13838.8816169,-149.934900514,-76.9471022159,-108.26532823
1564084113.8,-0.0197132053138,0.0822499204985,0.855602627881,-1.17512527071,-0.616430473239,-0.831593858071,-322.981155861,1347.58269745,14018.1934552,-153.941410463,-80.7523919943,-108.938795407
1564084113.91,-0.0200612207199,0.0834487565736,0.865745490093,-1.17746007188,-0.640283609121,-0.845381037149,-328.683040275,1367.2244277,14184.3741097,-154.247269417,-83.8771527949,-110.744915867
1564084114.03,-0.0200326377104,0.0842591543538,0.875435589521,-1.19482856851,-0.64266746195,-0.86313300977,-328.214736247,1380.50198493,14343.1366987,-156.522542475,-84.1894375154,-113.07042428
1564084114.14,-0.0205440223769,0.0855012076684,0.884107850881,-1.20511670403,-0.648629723388,-0.850102151541,-336.593262623,1400.85178644,14485.2230288,-157.870288228,-84.9704937638,-111.363381852
1564084114.26,-0.0207112998267,0.0864481572141,0.891278120481,-1.22429969011,-0.664682781584,-0.868145371502,-339.33393636,1416.3666078,14602.700726,-160.383259405,-87.0734443875,-113.727043667
1564084114.37,-0.020788607344,0.0884478727427,0.898537027183,-1.23164071347,-0.678367175181,-0.864536941222,-340.600542724,1449.12994702,14721.6306534,-161.344933464,-88.8660999487,-113.2543393
1564084114.48,-0.0206628716096,0.0889536714059,0.904679418214,-1.24817129861,-0.678469388961,-0.870449659313,-338.540488452,1457.41695231,14822.267588,-163.510440118,-88.8794899538,-114.02890537
1564084114.6,-0.0203788110112,0.0895797886403,0.910231984205,-1.250071726,-0.709095732507,-0.847526830787,-333.886439607,1467.67525708,14913.2408292,-163.759396106,-92.8915409585,-111.026014833
1564084114.71,-0.020147570535,0.0898014972763,0.91544902016,-1.25941569844,-0.692384632539,-0.866590941601,-330.097795646,1471.30773137,14998.7167463,-164.983456495,-90.7023868626,-113.52341335
1564084114.82,-0.0205253916065,0.0900254491111,0.919460758769,-1.2548481744,-0.67581792501,-0.874588335991,-336.288016081,1474.97695824,15064.4450717,-164.385110846,-88.5321481764,-114.571072015
1564084114.94,-0.0202306649459,0.090446732325,0.923339878204,-1.23318015085,-0.696022392051,-0.884076067277,-331.459214473,1481.87926241,15128.0005645,-161.546599761,-91.1789333587,-115.813964813
1564084115.05,-0.0201851375138,0.0909723715925,0.927539093509,-1.22589267012,-0.710389618495,-0.900248613221,-330.713293026,1490.49133617,15196.8005081,-160.591939785,-93.0610400228,-117.932568332
1564084115.16,-0.0202418190749,0.0915186891208,0.931245145096,-1.23994462448,-0.723320122294,-0.910987110678,-331.641963723,1499.44220255,15257.5204572,-162.432745807,-94.7549360206,-119.339311499
1564084115.28,-0.0202928324799,0.0917906483337,0.933750513399,-1.23656084905,-0.714346888691,-0.921415117167,-332.477767351,1503.8979823,15298.5684115,-161.989471226,-93.5794424185,-120.705380349
